,0,1,2
178,карикатурами,1137.0,1.0
179,кассовым,1137.0,1.0
180,украденным,1137.0,1.0
181,приморье,1137.0,1.0
182,аккаунтах,1137.0,1.0
183,ленина,1140.0,1.0
184,геноцида,1140.0,1.0
185,патриотических,1140.0,1.0
186,рубежом,1140.0,1.0
187,османской,1140.0,1.0
188,армян,1140.0,1.0
189,поддерживать,1140.0,1.0
190,перезахоронить,1140.0,1.0
191,ядерное,1140.0,1.0
192,парижа,1140.0,1.0
193,кадры,1146.0,1.0
194,звуков,1146.0,1.0
195,снятые,1146.0,1.0
196,аргентине,1149.0,1.0
197,замглавы,1149.0,1.0
198,допросить,1149.0,1.0
199,кабуле,1149.0,1.0
200,казначейства,1149.0,1.0
201,таинственную,1160.0,1.0
202,художественных,1160.0,1.0
203,единое,1160.0,1.0
204,задумчивую,1160.0,1.0
205,воплощением,1160.0,1.0
206,вышеназванных,1160.0,1.0
207,сочинять,1160.0,1.0
208,целое,1160.0,1.0
209,изысканий,1160.0,1.0
210,музыке,1160.0,1.0
211,называвшаяся,1160.0,1.0
212,стремится,1160.0,1.0
213,являясь,1160.0,1.0
214,соединить,1160.0,1.0
215,изобразительное,1160.0,1.0
216,соединяет,1160.0,1.0
217,интересующих,1160.0,1.0
218,составляющая,1160.0,1.0
219,григорию,1167.0,1.0
220,госпитализировали,1167.0,1.0
221,обратившуюся,1167.0,1.0
222,прохоров,1167.0,1.0
223,онкобольную,1167.0,1.0
224,доставил,1167.0,1.0
225,дронаи,1167.0,1.0
226,апатитов,1167.0,1.0
227,иноагентам,1168.0,1.0
228,саратовский,1168.0,1.0
229,получающих,1168.0,1.0
230,тегеране,1168.0,1.0
231,выдвигает,1169.0,1.0
232,недель,1169.0,1.0
233,похоже,1169.0,1.0
234,ницце,1169.0,1.0
235,врезавшись,1169.0,1.0
236,версий,1169.0,1.0
237,наезде,1171.0,1.0
238,соучастника,1171.0,1.0
239,онкобольных,1171.0,1.0
240,угольной,1176.0,1.0
241,шахте,1176.0,1.0
242,величайшей,1176.0,1.0
243,иране,1176.0,1.0
244,массачусетс,1176.0,1.0
245,алтайская,1179.0,1.0
246,школьный,1179.0,1.0
247,колония,1179.0,1.0
248,недопустимыми,1179.0,1.0
249,дадиным,1179.0,1.0
250,электронные,1179.0,1.0
251,больничные,1179.0,1.0
252,филиппин,1181.0,1.0
253,кибератакам,1181.0,1.0
254,выходе,1181.0,1.0
255,вина,1181.0,1.0
256,отеля,1181.0,1.0
257,доказали,1181.0,1.0
258,минсельхоз,1181.0,1.0
259,лиман,1192.0,1.0
260,босфор,1192.0,1.0
261,зарубежные,1192.0,1.0
262,черноморского,1192.0,1.0
263,туман,1192.0,1.0
264,спасён,1192.0,1.0
265,доложила,1192.0,1.0
266,ашот,1192.0,1.0
267,экипаж,1192.0,1.0
268,береговая,1192.0,1.0
269,флота,1192.0,1.0
270,судном,1192.0,1.0
271,разведывательный,1192.0,1.0
272,голодец,1196.0,1.0
273,амнистию,1196.0,1.0
274,кишинева,1196.0,1.0
275,бордельи,1196.0,1.0
276,записанный,1199.0,1.0
277,обеих,1199.0,1.0
278,продемонстрировал,1199.0,1.0
279,гитары,1199.0,1.0
280,жмите,1199.0,1.0
281,редкое,1199.0,1.0
282,барам,1199.0,1.0
283,вживую,1199.0,1.0
284,расплескавшийся,1199.0,1.0
285,взрывоопасный,1199.0,1.0
286,дублей,1199.0,1.0
287,шантрапы,1199.0,1.0
288,концов,1199.0,1.0
289,джаз,1199.0,1.0
290,мест,1199.0,1.0
291,столиц,1199.0,1.0
292,естественное,1199.0,1.0
293,злачных,1199.0,1.0
294,поколение,1202.0,1.0
295,внесен,1202.0,1.0
296,фестивали,1202.0,1.0
297,самоубийствах,1202.0,1.0
298,проживающих,1204.0,1.0
299,телевидение,1204.0,1.0
300,друге,1204.0,1.0
301,ошибок,1204.0,1.0
302,мессенджеров,1204.0,1.0
303,реновациипрямая,1211.0,1.0
304,перенесен,1211.0,1.0
305,несогласованно,1211.0,1.0
306,мюнхена,1216.0,1.0
307,проводится,1216.0,1.0
308,госсекретарем,1223.0,1.0
309,берлине,1228.0,1.0
310,готовившего,1228.0,1.0
311,атаковал,1228.0,1.0
312,универсальную,1231.0,1.0
313,молотком,1233.0,1.0
314,богоматери,1233.0,1.0
315,парижской,1233.0,1.0
316,истребитель,1233.0,1.0
317,малоимущие,1233.0,1.0
318,перехватил,1233.0,1.0
319,икрыи,1233.0,1.0
320,коми,1240.0,1.0
321,распилить,1240.0,1.0
322,рельсы,1240.0,1.0
323,эксплуатации,1240.0,1.0
324,прочностьи,1240.0,1.0
325,увеличен,1240.0,1.0
326,уклоняются,1240.0,1.0
327,любопытства,1240.0,1.0
328,дидди,1241.0,1.0
329,георгиевской,1241.0,1.0
330,высокооплачиваемых,1241.0,1.0
331,засекретили,1241.0,1.0
332,изготовление,1241.0,1.0
333,возглавил,1241.0,1.0
334,гостайны,1241.0,1.0
335,переписке,1241.0,1.0
336,административный,1244.0,1.0
337,регистры,1244.0,1.0
338,туберкулезоми,1244.0,1.0
339,похищении,1251.0,1.0
340,дачи,1253.0,1.0
341,водителем,1253.0,1.0
342,иностранными,1253.0,1.0
343,сбивший,1255.0,1.0
344,автомата,1255.0,1.0
345,госкомпании,1256.0,1.0
346,макееву,1256.0,1.0
347,обяжет,1256.0,1.0
348,самолеты,1256.0,1.0
349,больниц,1258.0,1.0
350,химоружием,1258.0,1.0
351,нанесение,1258.0,1.0
352,избиении,1258.0,1.0
353,ушам,1261.0,1.0
354,пьяном,1261.0,1.0
355,подтверждает,1261.0,1.0
356,говорящий,1261.0,1.0
357,слоги,1261.0,1.0
358,динамика,1261.0,1.0
359,задержкой,1261.0,1.0
360,химок,1261.0,1.0
361,патрульный,1261.0,1.0
362,звукооборудованием,1261.0,1.0
363,банальной,1261.0,1.0
364,повторять,1261.0,1.0
365,растягивать,1261.0,1.0
366,слышит,1261.0,1.0
367,довод,1261.0,1.0
368,опьянеете,1261.0,1.0
369,полагать,1261.0,1.0
370,приложить,1261.0,1.0
371,урлук,1267.0,1.0
372,забайкальскому,1267.0,1.0
373,денизли,1267.0,1.0
374,следовал,1267.0,1.0
375,отвечающих,1267.0,1.0
376,краю,1267.0,1.0
377,читу,1267.0,1.0
378,паломников,1267.0,1.0
379,туристами,1267.0,1.0
380,крестного,1267.0,1.0
381,перевозивший,1267.0,1.0
382,справился,1267.0,1.0
383,съехал,1267.0,1.0
384,кювет,1267.0,1.0
385,мугла,1267.0,1.0
386,трассе,1267.0,1.0
387,байкал,1267.0,1.0
388,перекрестка,1272.0,1.0
389,технолог,1272.0,1.0
390,откатыи,1272.0,1.0
391,сбежавших,1275.0,1.0
392,сидящая,1275.0,1.0
393,автотрассу,1275.0,1.0
394,отравившихся,1275.0,1.0
395,поросяти,1275.0,1.0
396,перекрыла,1275.0,1.0
397,русь,1275.0,1.0
398,шельфе,1275.0,1.0
399,правозащитную,1275.0,1.0
400,задержало,1284.0,1.0
401,лотерею,1284.0,1.0
402,рекордную,1284.0,1.0
403,привлекать,1284.0,1.0
404,следующие,1284.0,1.0
405,выиграл,1284.0,1.0
406,заразивших,1284.0,1.0
407,вирусом,1284.0,1.0
408,увеличатся,1284.0,1.0
409,минэкономики,1284.0,1.0
410,изучит,1285.0,1.0
411,одобрен,1285.0,1.0
412,идеологической,1285.0,1.0
413,вороненкова,1285.0,1.0
414,избирателями,1285.0,1.0
415,фрагменты,1285.0,1.0
416,платформой,1285.0,1.0
417,антимайдана,1285.0,1.0
418,авиакомпанию,1287.0,1.0
419,определили,1287.0,1.0
420,перенос,1287.0,1.0
421,путешественники,1287.0,1.0
422,уэст,1292.0,1.0
423,грозовых,1292.0,1.0
424,бэтменаи,1292.0,1.0
425,локомотив,1292.0,1.0
426,исполнивший,1292.0,1.0
427,доходамии,1294.0,1.0
428,роуминг,1298.0,1.0
429,отмена,1298.0,1.0
430,заподозрил,1298.0,1.0
431,ложных,1298.0,1.0
432,платы,1298.0,1.0
433,частей,1298.0,1.0
434,информацией,1302.0,1.0
435,беслане,1302.0,1.0
436,владеют,1302.0,1.0
437,взятку,1302.0,1.0
438,присудил,1302.0,1.0
439,согласились,1302.0,1.0
440,ножевые,1303.0,1.0
441,массовую,1303.0,1.0
442,детали,1303.0,1.0
443,маркет,1303.0,1.0
444,мили,1303.0,1.0
445,лондонским,1303.0,1.0
446,забежал,1303.0,1.0
447,лондонская,1303.0,1.0
448,телефонные,1315.0,1.0
449,алексин,1315.0,1.0
450,переговоры,1315.0,1.0
451,кубком,1318.0,1.0
452,каннский,1318.0,1.0
453,совфеде,1323.0,1.0
454,пчёлка,1323.0,1.0
455,бешеная,1323.0,1.0
456,конфетами,1323.0,1.0
457,оставались,1326.0,1.0
458,приговоренный,1326.0,1.0
459,политковской,1326.0,1.0
460,гайтукаев,1326.0,1.0
461,пожизненному,1326.0,1.0
462,заключению,1326.0,1.0
463,туре,1333.0,1.0
464,запустит,1333.0,1.0
465,польшу,1334.0,1.0
466,украинка,1334.0,1.0
467,попыталась,1334.0,1.0
468,чемодане,1334.0,1.0
469,последовавших,1339.0,1.0
470,задержанномвот,1339.0,1.0
471,указывайте,1339.0,1.0
472,воронеже,1339.0,1.0
473,турцией,1344.0,1.0
474,общались,1344.0,1.0
475,головой,1344.0,1.0
476,чартерное,1344.0,1.0
477,приостановить,1344.0,1.0
478,сугробе,1344.0,1.0
479,рацию,1344.0,1.0
480,салехарде,1344.0,1.0
481,сухогруз,1349.0,1.0
482,законность,1349.0,1.0
483,юрия,1349.0,1.0
484,крушение,1349.0,1.0
485,подмосковном,1362.0,1.0
486,обеспеченную,1362.0,1.0
487,криптовалюту,1362.0,1.0
488,пансионате,1362.0,1.0
489,денвере,1374.0,1.0
490,спектакль,1374.0,1.0
491,фигурант,1374.0,1.0
492,открывается,1374.0,1.0
493,грузию,1376.0,1.0
494,волки,1376.0,1.0
495,напавшие,1376.0,1.0
496,коллекторов,1376.0,1.0
497,петрозаводска,1376.0,1.0
498,байкеров,1376.0,1.0
499,претензий,1377.0,1.0
500,сероводорода,1382.0,1.0
501,лишатся,1382.0,1.0
502,обход,1384.0,1.0
503,молнией,1384.0,1.0
504,молебнаи,1384.0,1.0
505,интернатах,1393.0,1.0
506,паники,1393.0,1.0
507,разорвали,1393.0,1.0
508,сиротам,1393.0,1.0
509,катаром,1393.0,1.0
510,богатства,1394.0,1.0
511,пороховом,1394.0,1.0
512,охватила,1397.0,1.0
513,погас,1397.0,1.0
514,остановлена,1397.0,1.0
515,последнюю,1397.0,1.0
516,бежали,1397.0,1.0
517,закончила,1397.0,1.0
518,безвиза,1406.0,1.0
519,отпущен,1406.0,1.0
520,границу,1406.0,1.0
521,хакеру,1408.0,1.0
522,ялты,1408.0,1.0
523,бейджа,1408.0,1.0
524,агрессивных,1408.0,1.0
525,куниц,1408.0,1.0
526,селезневу,1408.0,1.0
527,погибла,1413.0,1.0
528,внучка,1413.0,1.0
529,никиты,1413.0,1.0
530,престола,1413.0,1.0
531,отречься,1413.0,1.0
532,узнавать,1415.0,1.0
533,созданное,1415.0,1.0
534,нашими,1415.0,1.0
535,крупнейшее,1415.0,1.0
536,новостное,1415.0,1.0
537,незалежной,1415.0,1.0
538,редакторами,1415.0,1.0
539,негде,1415.0,1.0
540,повестке,1415.0,1.0
541,социально,1415.0,1.0
542,посвященное,1415.0,1.0
543,обсуждать,1415.0,1.0
544,острые,1415.0,1.0
545,кабину,1417.0,1.0
546,сбереженийи,1434.0,1.0
547,положением,1434.0,1.0
548,грата,1434.0,1.0
549,отслеживать,1434.0,1.0
550,выплатят,1434.0,1.0
551,соцопрос,1434.0,1.0
552,допустивших,1436.0,1.0
553,каидой,1436.0,1.0
554,успокоительные,1436.0,1.0
555,отстранили,1436.0,1.0
556,антидепрессанты,1436.0,1.0
557,доставлен,1447.0,1.0
558,седьмой,1447.0,1.0
559,вербовке,1447.0,1.0
560,афганистан,1447.0,1.0
561,следом,1448.0,1.0
562,выгрузила,1448.0,1.0
563,бюджетных,1448.0,1.0
564,молодежного,1448.0,1.0
565,газели,1448.0,1.0
566,винзавод,1448.0,1.0
567,правоохранители,1448.0,1.0
568,визит,1448.0,1.0
569,софье,1448.0,1.0
570,апфельбаум,1448.0,1.0
571,заклеенными,1448.0,1.0
572,тонированной,1448.0,1.0
573,художественного,1448.0,1.0
574,приготовленных,1456.0,1.0
575,виртуальных,1456.0,1.0
576,сопротивление,1456.0,1.0
577,кадров,1456.0,1.0
578,оттока,1456.0,1.0
579,аэрофлот,1456.0,1.0
580,исаакиевскому,1459.0,1.0
581,палкой,1459.0,1.0
582,челси,1459.0,1.0
583,ударам,1459.0,1.0
584,информатор,1459.0,1.0
585,мэннинг,1459.0,1.0
586,гарантиях,1459.0,1.0
587,однополый,1459.0,1.0
588,мосгордума,1459.0,1.0
589,собору,1459.0,1.0
590,пижаме,1461.0,1.0
591,оснастит,1461.0,1.0
592,спецмашины,1461.0,1.0
593,пушками,1461.0,1.0
594,итогов,1461.0,1.0
595,экстремизм,1465.0,1.0
596,виртуального,1465.0,1.0
597,ленивец,1465.0,1.0
598,старейший,1465.0,1.0
599,заказ,1465.0,1.0
600,взятие,1468.0,1.0
601,позиции,1468.0,1.0
602,бруно,1468.0,1.0
603,сократит,1473.0,1.0
604,игрового,1473.0,1.0
605,судов,1473.0,1.0
606,минкультуры,1473.0,1.0
607,интимные,1475.0,1.0
608,прогнозируют,1477.0,1.0
609,превысит,1481.0,1.0
610,травмировали,1481.0,1.0
611,доноров,1481.0,1.0
612,отвалившиеся,1481.0,1.0
613,саратовом,1481.0,1.0
614,колеса,1481.0,1.0
615,понедельник,1488.0,1.0
616,финсбери,1488.0,1.0
617,выходивших,1488.0,1.0
618,мечети,1488.0,1.0
619,жал,1488.0,1.0
620,вечерней,1488.0,1.0
621,двоим,1488.0,1.0
622,ираке,1490.0,1.0
623,льва,1490.0,1.0
624,живого,1490.0,1.0
625,двойного,1490.0,1.0
626,домена,1495.0,1.0
627,регистрации,1495.0,1.0
628,отменой,1499.0,1.0
629,недопуска,1499.0,1.0
630,грозят,1499.0,1.0
631,идиотом,1502.0,1.0
632,преступного,1502.0,1.0
633,порносайт,1514.0,1.0
634,заполнить,1514.0,1.0
635,щедрости,1514.0,1.0
636,мечты,1514.0,1.0
637,оплатить,1514.0,1.0
638,аттракцион,1514.0,1.0
639,твоей,1514.0,1.0
640,банком,1514.0,1.0
641,невиданной,1514.0,1.0
642,дроттнинггатан,1516.0,1.0
643,туристический,1516.0,1.0
644,маршрут,1516.0,1.0
645,стрелял,1516.0,1.0
646,хаос,1516.0,1.0
647,троих,1517.0,1.0
648,вступлением,1517.0,1.0
649,юриста,1517.0,1.0
650,одноимённого,1524.0,1.0
651,скотланд,1540.0,1.0
652,телепередачи,1541.0,1.0
653,неприятия,1541.0,1.0
654,ниндзяи,1541.0,1.0
655,татарский,1541.0,1.0
656,устойчивого,1541.0,1.0
657,травлю,1541.0,1.0
658,любом,1543.0,1.0
659,биохимическим,1543.0,1.0
660,мауглии,1543.0,1.0
661,востребованные,1543.0,1.0
662,обезьянами,1543.0,1.0
663,двойной,1543.0,1.0
664,риме,1543.0,1.0
665,профессии,1543.0,1.0
666,пакеты,1543.0,1.0
667,паводка,1549.0,1.0
668,коснется,1549.0,1.0
669,одиночной,1549.0,1.0
670,света,1549.0,1.0
671,заменить,1549.0,1.0
672,индексация,1549.0,1.0
673,контролируемые,1553.0,1.0
674,моста,1553.0,1.0
675,убит,1553.0,1.0
676,домашний,1558.0,1.0
677,федеральный,1558.0,1.0
678,распыливший,1558.0,1.0
679,принадлежал,1568.0,1.0
680,сирийская,1568.0,1.0
681,мирные,1568.0,1.0
682,складе,1568.0,1.0
683,дамаска,1568.0,1.0
684,дайр,1568.0,1.0
685,химического,1568.0,1.0
686,генштаб,1568.0,1.0
687,заур,1568.0,1.0
688,авиаудар,1568.0,1.0
689,ошибка,1573.0,1.0
690,пилота,1573.0,1.0
691,ссылке,1575.0,2.0
692,возглавляет,1578.0,1.0
693,органами,1578.0,1.0
694,пятилетнего,1581.0,1.0
695,афганский,1581.0,1.0
696,мигрант,1581.0,1.0
697,моторолы,1586.0,1.0
698,аптеках,1586.0,1.0
699,уругвая,1586.0,1.0
700,лицея,1586.0,1.0
701,продажа,1586.0,1.0
702,бытовой,1586.0,1.0
703,ракетном,1586.0,1.0
704,конфликт,1586.0,1.0
705,гиви,1586.0,1.0
706,фронтмен,1588.0,1.0
707,продаст,1588.0,1.0
708,мосс,1588.0,1.0
709,удалившая,1588.0,1.0
710,побыть,1588.0,1.0
711,близким,1588.0,1.0
712,отмывание,1588.0,1.0
713,смутьян,1588.0,1.0
714,провайдер,1588.0,1.0
715,женихом,1588.0,1.0
716,успевший,1588.0,1.0
717,уайнхаус,1588.0,1.0
718,премьерили,1600.0,2.0
719,санкциями,1606.0,1.0
720,сносом,1606.0,1.0
721,освободил,1606.0,1.0
722,долгами,1614.0,1.0
723,пасхального,1614.0,1.0
724,спектакляи,1614.0,1.0
725,игравший,1614.0,1.0
726,признательные,1614.0,1.0
727,погасить,1614.0,1.0
728,иуду,1614.0,1.0
729,заявляет,1615.0,1.0
730,немцовым,1615.0,1.0
731,трогали,1615.0,1.0
732,поддержка,1615.0,1.0
733,видеозапись,1615.0,1.0
734,мухаммеда,1615.0,1.0
735,коммерсант,1615.0,1.0
736,врезалась,1618.0,1.0
737,машина,1618.0,1.0
738,обыска,1628.0,1.0
739,отмечено,1628.0,1.0
740,акцией,1628.0,1.0
741,кандидатов,1628.0,1.0
742,намеченной,1628.0,1.0
743,зарегистрирована,1628.0,1.0
744,поддержкой,1628.0,1.0
745,евпатии,1629.0,1.0
746,аудитории,1629.0,1.0
747,коловратеи,1629.0,1.0
748,изнасиловании,1629.0,1.0
749,увеличили,1629.0,1.0
750,напишет,1629.0,1.0
751,охват,1629.0,1.0
752,стрит,1635.0,1.0
753,арта,1635.0,1.0
754,прощание,1639.0,1.0
755,тайване,1639.0,1.0
756,военнослужащих,1639.0,1.0
757,запросило,1640.0,1.0
758,поздравление,1640.0,1.0
759,подлодками,1645.0,1.0
760,атомными,1645.0,1.0
761,пригрозил,1645.0,1.0
762,макияжем,1649.0,1.0
763,поисковым,1649.0,1.0
764,простились,1649.0,1.0
765,спектаклем,1651.0,1.0
766,живой,1651.0,1.0
767,чехия,1657.0,1.0
768,беженцев,1657.0,1.0
769,квоте,1657.0,1.0
770,мамонта,1657.0,1.0
771,сажал,1657.0,1.0
772,якутского,1657.0,1.0
773,откопал,1657.0,1.0
774,присягу,1657.0,1.0
775,покупателей,1657.0,1.0
776,необоснованные,1657.0,1.0
777,бивни,1657.0,1.0
778,картофельи,1657.0,1.0
779,особняка,1659.0,1.0
780,рублевке,1659.0,1.0
781,вступивших,1659.0,1.0
782,единая,1659.0,1.0
783,однокурсника,1659.0,1.0
784,международного,1674.0,1.0
785,возвращать,1678.0,1.0
786,трактор,1678.0,1.0
787,курортах,1678.0,1.0
788,противоречий,1678.0,1.0
789,кличко,1692.0,1.0
790,значительно,1692.0,1.0
791,старообрядцы,1692.0,1.0
792,производствои,1692.0,1.0
793,сбривании,1692.0,1.0
794,бороды,1692.0,1.0
795,бжезинский,1706.0,1.0
796,контрафактного,1706.0,1.0
797,политолог,1706.0,1.0
798,збигнев,1706.0,1.0
799,заболевшей,1717.0,1.0
800,модели,1717.0,1.0
801,продукции,1717.0,1.0
802,разорвать,1717.0,1.0
803,врага,1717.0,1.0
804,маори,1717.0,1.0
805,мемориал,1717.0,1.0
806,священной,1717.0,1.0
807,горе,1717.0,1.0
808,хребет,1717.0,1.0
809,председателя,1720.0,1.0
810,саммите,1720.0,1.0
811,алкоголем,1720.0,1.0
812,юнкера,1720.0,1.0
813,еврокомиссии,1720.0,1.0
814,экстравагантных,1721.0,1.0
815,млекопитающих,1721.0,1.0
816,слона,1721.0,1.0
817,серьёзная,1721.0,1.0
818,схож,1721.0,1.0
819,теорию,1721.0,1.0
820,опорожнения,1721.0,1.0
821,изучив,1721.0,1.0
822,кишечника,1721.0,1.0
823,дефекации,1721.0,1.0
824,агрегаторов,1742.0,1.0
825,рыцарии,1742.0,1.0
826,барабанщика,1742.0,1.0
827,недостоверную,1742.0,1.0
828,посвятил,1742.0,1.0
829,принц,1742.0,1.0
830,датский,1742.0,1.0
831,франциско,1742.0,1.0
832,мерах,1742.0,1.0
833,ужесточает,1742.0,1.0
834,врезавшегося,1743.0,1.0
835,армения,1743.0,1.0
836,пригласил,1743.0,1.0
837,дебаты,1743.0,1.0
838,осужденного,1743.0,1.0
839,военнослужащего,1743.0,1.0
840,семерых,1743.0,1.0
841,передала,1743.0,1.0
842,парламентских,1743.0,2.0
843,установила,1744.0,1.0
844,олимпиад,1744.0,1.0
845,похороны,1744.0,1.0
846,голым,1747.0,1.0
847,торсом,1747.0,1.0
848,оползня,1751.0,1.0
849,схода,1751.0,1.0
850,пропавшими,1751.0,1.0
851,удивительных,1752.0,1.0
852,жилищного,1752.0,1.0
853,выяснились,1752.0,1.0
854,открытий,1752.0,1.0
855,чтения,1752.0,1.0
856,прекратит,1755.0,1.0
857,спида,1755.0,1.0
858,баскетбола,1755.0,1.0
859,обесточивать,1755.0,1.0
860,королевские,1755.0,1.0
861,оправдывать,1755.0,1.0
862,обязанности,1755.0,1.0
863,загранпаспорт,1755.0,1.0
864,елизаветы,1755.0,1.0
865,помиловании,1763.0,1.0
866,бауманки,1763.0,1.0
867,егэи,1763.0,1.0
868,десятилетием,1763.0,1.0
869,госизмену,1763.0,1.0
870,преподаватель,1763.0,1.0
871,повезет,1770.0,1.0
872,стрим,1770.0,1.0
873,путевки,1770.0,1.0
874,призовым,1770.0,1.0
875,розыгрыше,1770.0,1.0
876,олимпийские,1770.0,1.0
877,фондом,1770.0,1.0
878,следами,1771.0,1.0
879,сообщников,1771.0,1.0
880,мадриде,1780.0,1.0
881,полквартиры,1780.0,1.0
882,широко,1780.0,1.0
883,комментировать,1796.0,1.0
884,атеизме,1796.0,1.0
885,арестанты,1796.0,1.0
886,мосгорсуда,1796.0,1.0
887,кольца,1796.0,1.0
888,банкомати,1796.0,1.0
889,побывавшие,1796.0,1.0
890,вмонтированы,1796.0,1.0
891,приковывая,1796.0,1.0
